啊	a/ā/è/á/ǎ/à
麙	xián/yán
唌	xián/yán/dàn
衘	xián/yù
𢭎	xiáng
㟄	xiáng
絴	xiáng
栙	xiáng
翔	xiáng
𤭬	xiáng
跭	xiáng
𩾬	xiáng
䔗	xiáng
𤝷	xiáng
庠	xiáng
佭	xiáng
祥	xiáng
详	xiáng
𤰅	xiáng
𨀘	xiáng
𦍴	xiáng
𡹷	xiáng
䜶	xiáng
瓨	xiáng/hóng
𦎈	xiáng/xiè
𦍲	xiáng/yàng
詳	xiáng/yáng
𤷤	xiáo
㬵	xiáo
淆	xiáo
𠴳	xiáo
䒝	xiáo
𧍂	xiáo
笅	xiáo
㚣	xiáo
𢛘	xiáo
誵	xiáo
𡦝	xiáo
𦺔	xiáo
𣔷	xiáo
𤕢	xiáo
㮁	xiáo
𥾤	xiáo
𨠦	xiáo
𣏠	xiáo
洨	xiáo
䟁	xiáo/chāo
訤	xiáo/ná
𡧕	xiáo/shǒu
崤	xiáo/yáo
殽	xiáo/yáo/xiào
郩	xiáo/ǎo
噧	xiè
䉏	xiè
𦖐	xiè
𩃖	xiè
邂	xiè
䕈	xiè
蠏	xiè
暬	xiè
䪥	xiè
䙝	xiè
㓔	xiè
𠅱	xiè
齥	xiè
𧓺	xiè
㸉	xiè
屧	xiè
褉	xiè
𧜵	xiè
𧝫	xiè
卨	xiè
㽊	xiè
𡞘	xiè
𠸴	xiè
𠨆	xiè
𠿇	xiè
𩐁	xiè
齂	xiè
薢	xiè
㴽	xiè
亵	xiè
㰔	xiè
㰡	xiè
𤗈	xiè
𨼬	xiè
𧛼	xiè
㳦	xiè
𨤴	xiè
缷	xiè
祄	xiè
塮	xiè
㙰	xiè
屑	xiè
躞	xiè
爕	xiè
𡤋	xiè
禼	xiè
㖑	xiè
绁	xiè
駴	xiè
𩙜	xiè
𩎃	xiè
䦏	xiè
屓	xiè
𣽒	xiè
械	xiè
䊝	xiè
灺	xiè
娎	xiè
䲒	xiè
𢤯	xiè
糏	xiè
㦪	xiè
㣯	xiè
㳿	xiè
㒠	xiè
䚸	xiè
𧌊	xiè
媟	xiè
𧍁	xiè
𩂪	xiè
伳	xiè
𡟩	xiè
瀉	xiè
廨	xiè
㴬	xiè
褻	xiè
㞕	xiè
㔎	xiè
繲	xiè
𧷧	xiè
卸	xiè
薤	xiè
燮	xiè
𡃂	xiè
韰	xiè
䩧	xiè
懈	xiè
榍	xiè
𤑪	xiè
炧	xiè
𠑄	xiè
𢤰	xiè
𡄕	xiè
徢	xiè
泻	xiè
𥀺	xiè
𢹒	xiè
𧜔	xiè
㣰	xiè
𧭸	xiè
𡣹	xiè
𦔼	xiè
𩍝	xiè
蟹	xiè
焎	xiè
𡗼	xiè
𨇨	xiè
𦩌	xiè
𤫉	xiè
𦵱	xiè
𡛶	xiè
絬	xiè
澥	xiè
𢌀	xiè
𡽖	xiè
𥎎	xiè
𦞚	xiè
𢖆	xiè
榭	xiè
瀣	xiè
𩽍	xiè
𥇱	xiè
𧀢	xiè
𠲊	xiè
𥍆	xiè
𢬿	xiè
𤡧	xiè
䉣	xiè
偰	xiè
𣣶	xiè
𩐉	xiè
𢞜	xiè
齘	xiè
𧌋	xiè
䙊	xiè
㴮	xiè
𪙥	xiè
烲	xiè/chè
𢜨	xiè/dié
𦁛	xiè/dié
渫	xiè/dié/zhá/yì/qiè
𨳚	xiè/fēn
獬	xiè/hǎ/jiě
𢗊	xiè/jiá
嶰	xiè/jiè
𦚡	xiè/mài
𧌖	xiè/shè
齛	xiè/shì
僁	xiè/sù
屟	xiè/tì
𧖁	xiè/wén
䵦	xiè/wū
谢	xiè/xie
謝	xiè/xie
揳	xiè/xié/jiá/xiē
㡜	xiè/xuě
㞒	xiè/xì
緤	xiè/yè
偞	xiè/yè/zhá
絏	xiè/yì
泄	xiè/yì
紲	xiè/yì
鞢	xiè/zhá/dié
䁋	xiè/zhé
𨈙	xiè/zhī
䙽	xié
勰	xié
拹	xié
𨵚	xié
翓	xié
𣻠	xié
𥆥	xié
𢿡	xié
𩷂	xié
諧	xié
㙝	xié
𠗉	xié
瑎	xié
嗋	xié
襭	xié
𩰳	xié
龤	xié
𩋘	xié
𢥘	xié
䩤	xié
𨵪	xié
𨷥	xié
纈	xié
缬	xié
𦳃	xié
㥟	xié
𥢹	xié
𧏃	xié
䡡	xié
蝢	xié
𡀺	xié
𩤠	xié
𤱷	xié
𧀺	xié
𪆋	xié
恊	xié
𨏳	xié
𢂐	xié
携	xié
𤞡	xié
愶	xié
熁	xié
䝱	xié
燲	xié
㙦	xié
𤮯	xié
撷	xié
㭨	xié
𦋅	xié
𨁂	xié
𩺫	xié
緳	xié
綊	xié
胁	xié
讗	xié
鞵	xié
擕	xié
𤙒	xié
𣣲	xié
𧟃	xié
攜	xié
㐖	xié
𢯉	xié
𧐃	xié
𥊯	xié
𣹩	xié
𤢺	xié
脇	xié
挟	xié
𧑦	xié
协	xié
協	xié
谐	xié
㩪	xié
垥	xié
𧏂	xié
膎	xié
𡸔	xié
𢓬	xié
𡰢	xié
旪	xié
𦚫	xié
衺	xié
擷	xié
𣫴	xié
𤣑	xié
𧷑	xié
䕵	xié
頡	xié/jiá/jié
𢴲	xié/jié
挾	xié/jiā
偕	xié/jiē
䀘	xié/jī
𩋧	xié/kài
劦	xié/liè
奊	xié/liè/xǐ/pí
㢵	xié/shè
鞋	xié/wā
脅	xié/xiàn/xī
𠖹	xié/xiá
䦖	xié/xiá
斜	xié/xiá/chá/yé
䙎	xié/xì
㨙	xié/xì
㩦	xié/xī
峫	xié/yé
㖿	xié/yé
䔑	xié/yé/tú
𣅷	xiòng
𥦥	xiòng
𠓙	xiòng
𡬁	xiòng
𦓈	xiòng
诇	xiòng
𢢹	xiòng
𤔫	xiòng
𥃴	xiòng
𧽒	xiòng
𩧊	xiòng
𤛪	xiòng
敻	xiòng
詗	xiòng
𡪰	xiòng
𥥧	xiòng
𦈤	xiòng
𦬺	xiòng/huǎng
𡨳	xiòng/hùn
𢿌	xiòng/xuàn
焸	xiòng/yīng/gǔ
熊	xióng
𧰯	xióng
雄	xióng
𧞞	xióng
䧺	xióng
鏽	xiù
锈	xiù
螑	xiù
鏥	xiù
𪁮	xiù
秀	xiù
齅	xiù
袖	xiù
㗜	xiù
褏	xiù
峀	xiù
岫	xiù
绣	xiù
𤚯	xiù
珛	xiù
繡	xiù
璓	xiù
𢓵	xiù
琇	xiù
繍	xiù
嗅	xiù/xù
銹	xiù/yòu
褎	xiù/yòu
𧙏	xiù/yǒu
苬	xiú
傄	xiā
㰨	xiā
谺	xiā
虲	xiā
𨳉	xiā
颬	xiā
𩮂	xiā
鰕	xiā
虾	xiā
𣢗	xiā
𧯋	xiā
𧦎	xiā
𥁆	xiā
瞎	xiā
𧇍	xiā
煵	xiā
𤗭	xiā
𧪕	xiā
呷	xiā/gā/jiǎ
蝦	xiā/há/jiǎ
㔠	xiā/hé
䠍	xiā/qiá/qié
㰰	xiā/qiè/hē
煆	xiā/xià
𠽫	xiā/xiǎ
閕	xiā/xiǎ
岈	xiā/yá
疨	xiā/yá
䄳	xiān
𢒆	xiān
珗	xiān
躚	xiān
苮	xiān
铦	xiān
纎	xiān
先	xiān
僊	xiān
𧫹	xiān
暹	xiān
籼	xiān
㲔	xiān
𦧐	xiān
𣰷	xiān
氙	xiān
韱	xiān
𪄏	xiān
䆎	xiān
嘕	xiān
䊱	xiān
㷿	xiān
𢕖	xiān
𣑹	xiān
𥑻	xiān
忺	xiān
𠏓	xiān
䩂	xiān
䯭	xiān
𢖎	xiān
祆	xiān
䂅	xiān
跹	xiān
仚	xiān
佡	xiān
锨	xiān
𦒜	xiān
𤈷	xiān
褼	xiān
𠫄	xiān
馦	xiān
𧸂	xiān
屳	xiān
奾	xiān
秈	xiān
憸	xiān
𨇤	xiān
酰	xiān
𥬍	xiān
𦸊	xiān
蹮	xiān
𪄷	xiān
纤	xiān
㺤	xiān
廯	xiān
㿌	xiān
𨁅	xiān
䵌	xiān
𢹚	xiān
𧱀	xiān
𨚾	xiān
𣮾	xiān
䯹	xiān
韯	xiān
鶱	xiān
𣔙	xiān
訮	xiān
𢫿	xiān
鍁	xiān
𥟕	xiān
莶	xiān
𣞘	xiān
掀	xiān/hén
𩈖	xiān/hān
㔾	xiān/jié
攕	xiān/jiān
纖	xiān/jiān
妗	xiān/jìn
㸝	xiān/kǎn
㾾	xiān/lián
𠏡	xiān/líng
杴	xiān/qiān
襳	xiān/shān
銛	xiān/tiǎn/guā
鲜	xiān/xian
鮮	xiān/xian/xiǎn/xiàn
㰹	xiān/xiàn/hǎn
䉳	xiān/xiǎn
鱻	xiān/xiǎn
嬐	xiān/yǎn/jìn
枮	xiān/zhēn
廂	xiāng
膷	xiāng
箱	xiāng
𢪷	xiāng
㐮	xiāng
襄	xiāng
瓖	xiāng
麘	xiāng
鄊	xiāng
骧	xiāng
驤	xiāng
稥	xiāng
芗	xiāng
缃	xiāng
鄕	xiāng
緗	xiāng
香	xiāng
𤷼	xiāng
郷	xiāng
乡	xiāng
厢	xiāng
葙	xiāng
𤉪	xiāng
𩡠	xiāng
𥫖	xiāng
湘	xiāng
镶	xiāng
𩑇	xiāng
𪂼	xiāng
𩡌	xiāng
舡	xiāng/chuán
啌	xiāng/qiāng
欀	xiāng/ràng
鑲	xiāng/ráng
忀	xiāng/rǎng
䬕	xiāng/shǎng
相	xiāng/xiàng
薌	xiāng/xiǎng
鄉	xiāng/xiǎng/xiàng
蟏	xiāo
哓	xiāo
痟	xiāo
𩾓	xiāo
膮	xiāo
销	xiāo
灲	xiāo
梟	xiāo
簘	xiāo
蟂	xiāo
𩫂	xiāo
𢭦	xiāo
鴞	xiāo
𦏷	xiāo
猇	xiāo
𤞚	xiāo
髇	xiāo
𧄤	xiāo
逍	xiāo
嘵	xiāo
庨	xiāo
𪁎	xiāo
毊	xiāo
㲖	xiāo
銷	xiāo
虓	xiāo
骁	xiāo
驍	xiāo
蠨	xiāo
枭	xiāo
𠈬	xiāo
婋	xiāo
獢	xiāo
蕭	xiāo
𨴹	xiāo
䴛	xiāo
灱	xiāo
𡟣	xiāo
㕺	xiāo
𦐺	xiāo
消	xiāo
嘋	xiāo
萧	xiāo
䬘	xiāo
宯	xiāo
彇	xiāo
瀟	xiāo
硣	xiāo
绡	xiāo
嚣	xiāo
𤡔	xiāo
𡯩	xiāo
𨊅	xiāo
𩙚	xiāo
髐	xiāo
𤣠	xiāo
𤠖	xiāo
𤑳	xiāo
𠹎	xiāo
潇	xiāo
𩱴	xiāo
箫	xiāo
歊	xiāo
蟰	xiāo
𦟞	xiāo
𩙮	xiāo
焇	xiāo
虈	xiāo
𧳍	xiāo
𠑪	xiāo
窙	xiāo
𡼚	xiāo
𣕇	xiāo
𧵱	xiāo
鴵	xiāo
宵	xiāo
𩾒	xiāo
𢓮	xiāo
𩧓	xiāo
枵	xiāo
痚	xiāo
𡣾	xiāo
𥆔	xiāo
𩫳	xiāo
𣠎	xiāo
侾	xiāo
嚻	xiāo
鸮	xiāo
𡷸	xiāo
𩋍	xiāo
𢪶	xiāo
𨶅	xiāo
𢸳	xiāo
魈	xiāo
㚠	xiāo
䨭	xiāo
藃	xiāo/hào/hè
呺	xiāo/háo
憢	xiāo/jiāo
𩾾	xiāo/jiāo
嘐	xiāo/jiāo/láo/bào/miù
𤺃	xiāo/jiāo/yāo
㺒	xiāo/nǎo/qiāo/xiào
硝	xiāo/qiào
踃	xiāo/qiào
㪣	xiāo/qiāo
櫹	xiāo/qiū/xiū
穘	xiāo/rào
䌃	xiāo/shuò
揱	xiāo/shuò/xiān
綃	xiāo/shāo
蛸	xiāo/shāo
萷	xiāo/shāo/shuò
翛	xiāo/shū
撨	xiāo/sōu/fǔ
䎄	xiāo/tiáo
㹲	xiāo/xiào
霄	xiāo/xiào
哮	xiāo/xiào/xuē
簫	xiāo/xiǎo
囂	xiāo/áo
㾚	xiē
𤺎	xiē
蠍	xiē
𨧥	xiē
楔	xiē
𣣩	xiē
𡭥	xiē
𥗧	xiē
𧓂	xiē
㨝	xiē
㱔	xiē
𦪬	xiē
𩫲	xiē
𣒄	xiē
𧳧	xiē
猲	xiē/hè/gé
𣆟	xiē/jiē
𥌨	xiē/miè
些	xiē/suò/suō
歇	xiē/yà
㗨	xiē/ǎi
䥾	xiě
𧭠	xiě
冩	xiě
藛	xiě
䥱	xiě
写	xiě
𣬕	xiě
㝍	xiě
𣞐	xiě
㕐	xiě/xiè
寫	xiě/xiè
㚾	xiōng
恟	xiōng
凶	xiōng
賯	xiōng
忷	xiōng
𨥍	xiōng
匈	xiōng
訩	xiōng
㐫	xiōng
胸	xiōng
洶	xiōng
𩌠	xiōng
𧘮	xiōng
𧿖	xiōng
胷	xiōng
𦙄	xiōng
𩴂	xiōng
詾	xiōng
讻	xiōng
汹	xiōng
兇	xiōng
𦵡	xiōng/gōng
哅	xiōng/hōng
𧵣	xiōng/mín
芎	xiōng/qiōng
兄	xiōng/xiong/kuàng
㱗	xiū
庥	xiū
貅	xiū
𦟤	xiū
銝	xiū
脙	xiū
𡟞	xiū
䐰	xiū
𩮄	xiū
𩛢	xiū
修	xiū
𪀪	xiū
𡜨	xiū
䗛	xiū
䡭	xiū
臹	xiū
𩡎	xiū
㳜	xiū
𪘆	xiū
飍	xiū
饈	xiū
㹋	xiū
𥌪	xiū
𡯐	xiū
𩘭	xiū
鸺	xiū
𧌌	xiū
𢕦	xiū
烌	xiū
𩢮	xiū
髤	xiū
髹	xiū
鵂	xiū
𦪋	xiū
𡔨	xiū
𥞼	xiū
𢊒	xiū
䏫	xiū
羞	xiū
馐	xiū
𩭘	xiū
鎀	xiū
俢	xiū
㵻	xiū
樇	xiū
鱃	xiū/qiū
鏅	xiū/xiù
㾋	xiū/xiù
烋	xiū/xiāo
休	xiū/xù
脩	xiū/yǒu/tiáo/xiāo
閜	xiǎ/ě
㭠	xiǎn
烍	xiǎn
䘆	xiǎn
㬎	xiǎn
险	xiǎn
𠠁	xiǎn
㫫	xiǎn
禒	xiǎn
崄	xiǎn
筅	xiǎn
䗾	xiǎn
幰	xiǎn
毨	xiǎn
獫	xiǎn
㧥	xiǎn
䥪	xiǎn
険	xiǎn
鍌	xiǎn
尟	xiǎn
蚬	xiǎn
䚚	xiǎn
㶍	xiǎn
猃	xiǎn
顕	xiǎn
𢷑	xiǎn
𦭶	xiǎn
显	xiǎn
𤞤	xiǎn
𩏩	xiǎn
䢾	xiǎn
狝	xiǎn
𤼂	xiǎn
藓	xiǎn
韅	xiǎn
尠	xiǎn
𩶤	xiǎn
蘚	xiǎn
攇	xiǎn
赻	xiǎn
𣭡	xiǎn
譣	xiǎn
𡾮	xiǎn
𨙡	xiǎn
𡗏	xiǎn
灦	xiǎn
𣕎	xiǎn
箲	xiǎn
𣟲	xiǎn
𧖙	xiǎn
𧕇	xiǎn
𢥌	xiǎn
𤓤	xiǎn
玁	xiǎn
櫶	xiǎn
䜢	xiǎn
㿅	xiǎn
燹	xiǎn/bìng
𢁗	xiǎn/gàn
礆	xiǎn/jiǎn
𥜲	xiǎn/jiǎn
險	xiǎn/jiǎn/yán
獮	xiǎn/mí
𩨡	xiǎn/sǎn
䧋	xiǎn/xiàn
顯	xiǎn/xiàn
搟	xiǎn/xiān
跣	xiǎn/xiān/sǔn
銑	xiǎn/xiān/xǐ
响	xiǎng
饟	xiǎng
想	xiǎng
𢞡	xiǎng
䊑	xiǎng
𥊾	xiǎng
餉	xiǎng
𤍀	xiǎng
𥿧	xiǎng
䖮	xiǎng
亯	xiǎng
蠁	xiǎng
饷	xiǎng
飨	xiǎng
鯗	xiǎng
饗	xiǎng
鱶	xiǎng
𠸮	xiǎng
𩞥	xiǎng
晑	xiǎng
鲞	xiǎng
㗽	xiǎng
響	xiǎng
享	xiǎng
𩝾	xiǎng
𦕺	xiǎng/gāo
䐟	xiǎng/gōu
銄	xiǎng/jiōng
鮝	xiǎng/zhèn
曉	xiǎo
𧡼	xiǎo
暁	xiǎo
𫍲	xiǎo
𩵖	xiǎo
䒕	xiǎo
小	xiǎo
𡱉	xiǎo
𧢬	xiǎo
筱	xiǎo
𥕾	xiǎo
𥔑	xiǎo
篠	xiǎo
𤽳	xiǎo
筿	xiǎo
晓	xiǎo
皢	xiǎo
䥵	xiǎo
皛	xiǎo/jiǎo/pò
謏	xiǎo/sǒu/sòu
𧩮	xiǎo/sǒu/sòu
焽	xiǒng
滫	xiǔ
糔	xiǔ
綇	xiǔ
朽	xiǔ
𪕦	xiǔ
𣧬	xiǔ
𦈋	xiǔ
㱙	xiǔ/guǎ
聓	xu
続	xu
蓿	xu/sù
鰚	xuan
轌	xue
樰	xue
艝	xue
膤	xue
嚑	xun
训	xun/xùn
訓	xun/xùn
𪍧	xuàn
镟	xuàn
衒	xuàn
繏	xuàn
楦	xuàn
蔙	xuàn
贙	xuàn
𢂄	xuàn
铉	xuàn
𤂿	xuàn
𨁁	xuàn
𠵷	xuàn
𨹆	xuàn
颴	xuàn
䍻	xuàn
琄	xuàn
炫	xuàn
𧾆	xuàn
渲	xuàn
𩃚	xuàn
䩰	xuàn
䍗	xuàn
䃠	xuàn
縼	xuàn
𩋫	xuàn
鉉	xuàn
㯀	xuàn
𩑹	xuàn
䝮	xuàn
䧎	xuàn
昡	xuàn
袨	xuàn
绚	xuàn
𥌭	xuàn
𦛔	xuàn
怰	xuàn
㳙	xuàn
讂	xuàn
𦈝	xuàn
𨊼	xuàn
𩉥	xuàn
碹	xuàn
眩	xuàn/huàn/juàn
㧦	xuàn/hōng
鞙	xuàn/juān
眴	xuàn/shùn/xún
夐	xuàn/xiòng
䩙	xuàn/xiǎn
𢳄	xuàn/xuán
鏇	xuàn/xuán
泫	xuàn/xuán/juān
絢	xuàn/xún
䀏	xuàn/xún
楥	xuàn/yuán
𩋢	xuàn/yùn
䁢	xuán
懸	xuán
𧜽	xuán
檈	xuán
蜁	xuán
璿	xuán
䮄	xuán
𧔤	xuán
𧟨	xuán
䗠	xuán
𠗻	xuán
𠣖	xuán
璇	xuán
䲂	xuán
悬	xuán
㳬	xuán
𣟳	xuán
痃	xuán
𠥞	xuán
暶	xuán
漩	xuán
㹡	xuán
𡾥	xuán
𧉎	xuán
嫙	xuán
𧐗	xuán
琁	xuán/qióng
𡈴	xuán/rǔ
𩙢	xuán/shī
㔯	xuán/suǎn
旋	xuán/xuàn
玄	xuán/xuàn
玹	xuán/xuàn/xián
㘣	xuán/yuán
䲻	xuán/yuān
玆	xuán/zī
𨑣	xuè
䬂	xuè
𦐍	xuè
䭥	xuè
䛎	xuè
䫼	xuè
𩌊	xuè
䦑	xuè
𩖱	xuè
𦰾	xuè
䆷	xuè
㞽	xuè
𩖶	xuè
狘	xuè
谑	xuè
坹	xuè
䎀	xuè
𣪨	xuè
𣺭	xuè
𥄎	xuè
桖	xuè
𣧡	xuè
𧔗	xuè
謔	xuè
𣧌	xuè
𤀰	xuè
𧮞	xuè
瀥	xuè
𥅧	xuè
䒸	xuè
𨭁	xuè
吷	xuè/chuò/jué
趐	xuè/chì
嚯	xuè/huò
䤕	xuè/hù
𥄴	xuè/jué
㕰	xuè/ma
血	xuè/xiě
𣧵	xuè/xù
䆝	xuè/zhú
乴	xué
袕	xué
㶅	xué
岤	xué
峃	xué
学	xué
𢯳	xué
鷽	xué
𧉢	xué
䱑	xué
㿱	xué
燢	xué
鸴	xué
斈	xué
𧸗	xué
泶	xué
嶨	xué
𢼺	xué
雤	xué
䋉	xué
㰒	xué
茓	xué
𦥯	xué
學	xué/huá/jiào
觷	xué/hù
穴	xué/jué
壆	xué/jué/bó
㖸	xué/niā
𥀣	xué/qiào
澩	xué/xiào
揎	xuān
蕿	xuān
媗	xuān
譞	xuān
𢰊	xuān
𩋱	xuān
翧	xuān
䚭	xuān
㻹	xuān
蝖	xuān
翾	xuān
煊	xuān
𢏧	xuān
諼	xuān
塇	xuān
宣	xuān
𩕪	xuān
睻	xuān
萱	xuān
鍹	xuān
蘐	xuān
駽	xuān
𩕖	xuān
𢙂	xuān
愋	xuān
轩	xuān
諠	xuān
縇	xuān
䳦	xuān
𤟿	xuān
暄	xuān
昍	xuān
萲	xuān
瑄	xuān
蠉	xuān
𧤎	xuān
𦑙	xuān
㩊	xuān
𧑩	xuān
䆭	xuān
蓒	xuān
禤	xuān
𧾎	xuān
𩤡	xuān
谖	xuān
藼	xuān
箮	xuān
愃	xuān
𡈣	xuān
亘	xuān/gèn/gèng
懁	xuān/huān
䁔	xuān/hàn
㓩	xuān/jiē
鋗	xuān/juān/juàn
梋	xuān/juān/xié
𦐽	xuān/líng
㝁	xuān/qióng
嬛	xuān/qióng/xuán/huán
𡬳	xuān/shòu
吅	xuān/sòng
㦥	xuān/xiǎn
軒	xuān/xiǎn/xiàn/hǎn/jiān
矎	xuān/xuàn
儇	xuān/xuán
喧	xuān/xuǎn
晅	xuān/xuǎn
䚙	xuān/xī
弲	xuān/yuān
疶	xuē
𢪎	xuē
薛	xuē
辪	xuē
鞾	xuē
㗾	xuē
蒆	xuē
𥄒	xuē
靴	xuē
𪃅	xuē
㻡	xuē/dié
削	xuē/xiāo/qiào/shào
辥	xuē/yì
鱈	xuě
雪	xuě
䨮	xuě
鳕	xuě
𣎓	xuǎn
𢈋	xuǎn
𧡢	xuǎn
㧋	xuǎn
𥥾	xuǎn
𣉖	xuǎn
䠣	xuǎn
𥶷	xuǎn
㔵	xuǎn
𧡚	xuǎn
㾌	xuǎn
癬	xuǎn
选	xuǎn
𦌔	xuǎn
癣	xuǎn
暅	xuǎn/gèng
顈	xuǎn/jiōng/xiàn/jiǒng
𩘒	xuǎn/juān
選	xuǎn/xuàn/suàn/shuā
咺	xuǎn/xuān
烜	xuǎn/xuān/huǐ
𦃝	xì
係	xì
𧬈	xì
𧪢	xì
𧹽	xì
𡘐	xì
𧱲	xì
𥎃	xì
𣚔	xì
熂	xì
㤸	xì
屭	xì
趇	xì
𧤟	xì
㦦	xì
𧂙	xì
郤	xì
綌	xì
𤡬	xì
𦞝	xì
𧉁	xì
𢤋	xì
忥	xì
嚱	xì
𩎥	xì
䜁	xì
𡝧	xì
霼	xì
𥮬	xì
戏	xì
犔	xì
卌	xì
𦷲	xì
阋	xì
匸	xì
㣟	xì
𥿭	xì
𡙋	xì
𡦎	xì
磶	xì
潟	xì
屃	xì
𩛹	xì
𠤴	xì
蕮	xì
𡜧	xì
𩍆	xì
赩	xì
細	xì
䊠	xì
恄	xì
釳	xì
禊	xì
𧧹	xì
𡃢	xì
翖	xì
衋	xì
𥋁	xì
覤	xì
䮎	xì
黖	xì
𥪦	xì
𢭁	xì
𪅲	xì
𣤢	xì
𩿛	xì
戱	xì
𥻥	xì
𨐛	xì
䀌	xì
𣢓	xì
䧍	xì
𧯊	xì
𨷘	xì
𧦁	xì
𧈍	xì
餼	xì
𤌷	xì
隙	xì
椞	xì
𥈜	xì
澙	xì
舃	xì
䈪	xì
绤	xì
𣣉	xì
喺	xì
𢧽	xì
𩦇	xì
𡶯	xì
𤄎	xì
细	xì
𧈅	xì
𩊿	xì
𧚃	xì
饩	xì
隟	xì
䐼	xì
䲪	xì
㙾	xì
𧹶	xì
㸍	xì
墍	xì
𧎵	xì
𥰥	xì
𧯈	xì
𨰿	xì
㑶	xì
㚛	xì
怬	xì
呬	xì/chì
㰥	xì/huì
鬩	xì/hè
䓇	xì/hè/kè
戲	xì/hū/xī/huī/suō/yī
塈	xì/jì
欯	xì/kài
愾	xì/kài/qì
𣳦	xì/náo
盻	xì/pǎn
郄	xì/qiè
稧	xì/qiè
䬣	xì/qì/gē
𠦜	xì/shù
虩	xì/sè
闟	xì/sè/tà
𧬊	xì/sí
系	xì/xi/jì
慀	xì/xié
滊	xì/xiē/qì
㭡	xì/xìn
䵱	xì/xī
䨳	xì/xī
咥	xì/xī/dié/zhì
𤜢	xìn
𦉝	xìn
舋	xìn
㔤	xìn
煡	xìn
㛛	xìn
䒖	xìn
𦤟	xìn
䚱	xìn
孞	xìn
訫	xìn
衅	xìn
𦜓	xìn
𤹩	xìn
䛨	xìn
𧴢	xìn
阠	xìn
𢩲	xìn
𤴾	xìn
𣥇	xìn
顖	xìn
𤷓	xìn
釁	xìn
焮	xìn
囟	xìn
𧳄	xìn
𤣲	xìn
𡈏	xìn
㐰	xìn
㭄	xìn
𢋆	xìn
伩	xìn
𩟍	xìn
脪	xìn/chī
䜗	xìn/hàn
馸	xìn/jìn
信	xìn/shēn
軐	xìn/xiàn
𧗹	xìn/xiān
㾙	xìn/xì
𦢯	xìn/xìng
𦞤	xìn/zǐ
䂔	xìng
㼬	xìng
荇	xìng
涬	xìng
臖	xìng
悻	xìng
𢙼	xìng
䁄	xìng
䛭	xìng
婞	xìng
緈	xìng
倖	xìng
䰢	xìng
莕	xìng
㓑	xìng
杏	xìng
𩈡	xìng
𣢝	xìng
䓷	xìng
幸	xìng/niè
姓	xìng/shēng
性	xìng/xing
兴	xìng/xīng
嬹	xìng/xīng
興	xìng/xīng/xìn
𪄶	xí
郋	xí
鎴	xí
㦻	xí
蓆	xí
椺	xí
䏮	xí
觋	xí
㽯	xí
㠄	xí
𩲁	xí
𢙅	xí
媳	xí
习	xí
袭	xí
習	xí
䫣	xí
鰼	xí
㩗	xí
檄	xí
𪓷	xí
驨	xí
飁	xí
騽	xí
漝	xí
襲	xí
䒁	xí
𨻥	xí
㔒	xí
嶍	xí
霫	xí
騱	xí
𦸚	xí
𣒃	xí
覡	xí
𦪿	xí
𧿅	xí
𣳬	xí
𥺚	xí
席	xí
趘	xí
𧋐	xí
鳛	xí
謵	xí/chè
槢	xí/dié
𨛳	xí/jí
薂	xí/xiào
隰	xí/xiè
𪕯	xí/xié
㿇	xí/xì
蒵	xí/xì
𧐔	xí/yì
䚫	xí/áo
鐔	xín
㚯	xín
枔	xín
𤫨	xín
㜦	xín
襑	xín
𩖣	xín/bá
𤶲	xíng
𧗦	xíng
娙	xíng
鉶	xíng
𧊞	xíng
㓝	xíng
郉	xíng
荥	xíng
铏	xíng
䣆	xíng
陉	xíng
䤯	xíng
洐	xíng
㣜	xíng
𦈵	xíng
㐩	xíng
𧊽	xíng
刑	xíng
型	xíng
𠀦	xíng
侀	xíng
钘	xíng
𦈨	xíng
鈃	xíng
㼛	xíng
𤬐	xíng
𣸝	xíng
𡶭	xíng
邢	xíng/gěng
行	xíng/háng/xìng/hàng/héng
銒	xíng/jiān
𩩋	xíng/jìng
陘	xíng/jìng
硎	xíng/kēng
餳	xíng/táng
形	xíng/xing
鋞	xíng/xìng/jīng
滎	xíng/yīng
㘧	xù
珬	xù
𣊞	xù
欰	xù
㖅	xù
朂	xù
㷦	xù
㺷	xù
敘	xù
𨣦	xù
𧹭	xù
𠷙	xù
𩪉	xù
㐨	xù
𨻍	xù
䣱	xù
緖	xù
盢	xù
𧊥	xù
婿	xù
㜅	xù
伵	xù
敍	xù
𩔴	xù
𠆐	xù
𦕓	xù
㳚	xù
䦗	xù
𥆛	xù
漵	xù
聟	xù
续	xù
𡦁	xù
䳳	xù
䣴	xù
蓄	xù
訹	xù
沀	xù
𥊊	xù
𩍳	xù
䂆	xù
叙	xù
𧼑	xù
𥇿	xù
勗	xù
𫚈	xù
𧁃	xù
㵰	xù
緒	xù
䢕	xù
槒	xù
𪖩	xù
𦑍	xù
㞊	xù
䎉	xù
𩌲	xù
𩣊	xù
垿	xù
𦜃	xù
𤆞	xù
𨷔	xù
𩽆	xù
𤬱	xù
㕛	xù
𧆡	xù
侐	xù
𣸃	xù
䙒	xù
𠜄	xù
稸	xù
序	xù
酗	xù
𤷇	xù
烅	xù
恤	xù
藚	xù
绪	xù
潊	xù
㗵	xù
𨹘	xù
瞁	xù
溆	xù
𧶍	xù
汿	xù
䛙	xù
